 	TCGA-A6-2670-01A-02R-0821-07	TCGA-A6-2672-01A-01R-0826-07	TCGA-A6-2674-01A-02R-0821-07	TCGA-A6-2676-01A-01R-0826-07	TCGA-A6-2677-01A-01R-0821-07	TCGA-A6-2678-01A-01R-0821-07	TCGA-A6-2683-01A-01R-0821-07	TCGA-A6-3807-01A-01R-1022-07	TCGA-A6-3808-01A-01R-1022-07	TCGA-A6-3809-01A-01R-1022-07	TCGA-A6-3810-01A-01R-1022-07	TCGA-AA-3514-01A-02R-0821-07	TCGA-AA-3516-01A-02R-0826-07	TCGA-AA-3517-01A-01R-0821-07	TCGA-AA-3518-01A-02R-0826-07	TCGA-AA-3524-01A-02R-0821-07	TCGA-AA-3525-01A-02R-0826-07	TCGA-AA-3526-01A-02R-0821-07	TCGA-AA-3534-01A-01R-0821-07	TCGA-AA-3538-01A-01R-0821-07	TCGA-AA-3543-01A-01R-0826-07	TCGA-AA-3552-01A-01R-0821-07	TCGA-AA-3555-01A-01R-0821-07	TCGA-AA-3558-01A-01R-0821-07	TCGA-AA-3561-01A-01R-0821-07	TCGA-AA-3562-01A-02R-0821-07	TCGA-AA-3666-01A-02R-0905-07	TCGA-AA-3667-01A-01R-0905-07	TCGA-AA-3672-01A-01R-0905-07	TCGA-AA-3675-01A-02R-0905-07	TCGA-AA-3679-01A-02R-0905-07	TCGA-AA-3681-01A-01R-0905-07	TCGA-AA-3685-01A-02R-0905-07	TCGA-AA-3693-01A-01R-0905-07	TCGA-AA-3695-01A-01R-0905-07	TCGA-AA-3696-01A-01R-0905-07	TCGA-AA-3710-01A-01R-1022-07	TCGA-AA-3715-01A-01R-0905-07	TCGA-AA-3811-01A-01R-1022-07	TCGA-AA-3812-01A-01R-0905-07	TCGA-AA-3818-01A-01R-0905-07	TCGA-AA-3821-01A-01R-1022-07	TCGA-AA-3831-01A-01R-0905-07	TCGA-AA-3837-01A-01R-0905-07	TCGA-AA-3842-01A-01R-1022-07	TCGA-AA-3844-01A-01R-1022-07	TCGA-AA-3846-01A-01R-1022-07	TCGA-AA-3848-01A-01R-0905-07	TCGA-AA-3854-01A-01R-0905-07	TCGA-AA-3855-01A-01R-1022-07	TCGA-AA-3856-01A-01R-0905-07	TCGA-AA-3860-01A-02R-0905-07	TCGA-AA-3861-01A-01R-1022-07	TCGA-AA-3862-01A-01R-1022-07	TCGA-AA-3864-01A-01R-1022-07	TCGA-AA-3866-01A-01R-1022-07	TCGA-AA-3869-01A-01R-1022-07	TCGA-AA-3877-01A-01R-1022-07	TCGA-AA-3939-01A-01R-1022-07	TCGA-AA-3941-01A-01R-1022-07	TCGA-AA-3947-01A-01R-1022-07	TCGA-AA-3949-01A-01R-1022-07	TCGA-AA-3950-01A-02R-1022-07	TCGA-AA-3952-01A-01R-1022-07	TCGA-AA-3966-01A-01R-1113-07	TCGA-AA-3968-01A-01R-1022-07	TCGA-AA-3975-01A-01R-1022-07	TCGA-AA-3976-01A-01R-1022-07	TCGA-AA-3977-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3986-01A-02R-1022-07	TCGA-AA-3989-01A-01R-1022-07	TCGA-AA-3994-01A-01R-1113-07	TCGA-AA-A00D-01A-01R-A002-07	TCGA-AA-A00J-01A-02R-A002-07	TCGA-AA-A00L-01A-01R-A002-07	TCGA-AA-A00O-01A-02R-A00A-07	TCGA-AA-A00Q-01A-01R-A002-07	TCGA-AA-A00U-01A-01R-A002-07	TCGA-AA-A00W-01A-01R-A002-07	TCGA-AA-A010-01A-01R-A00A-07	TCGA-AA-A01D-01A-01R-A00A-07	TCGA-AA-A01F-01A-01R-A002-07	TCGA-AA-A01G-01A-01R-A002-07	TCGA-AA-A024-01A-02R-A00A-07	TCGA-AA-A029-01A-01R-A00A-07	TCGA-AA-A02E-01A-01R-A00A-07	TCGA-AA-A02F-01A-01R-A00A-07	TCGA-AA-A02H-01A-01R-A00A-07	TCGA-AA-A02J-01A-01R-A00A-07	TCGA-AY-4070-01A-01R-1113-07	TCGA-AY-4071-01A-01R-1113-07
TRHDE	-0.042882	-0.231989	-0.974861	-1.353789	0.863407	3.436697	-2.397092	-0.139933	-0.926335	0.463070	-1.240325	2.004475	-0.011483	-0.916345	-0.406111	0.339615	0.916928	0.450225	0.515164	-0.246975	-0.674430	2.705957	-1.874014	0.385286	1.115313	1.709753	0.545136	-0.319764	-0.255539	0.400272	0.105550	-0.004347	0.073437	0.490187	0.144085	0.195465	-1.213208	-0.936326	-0.635894	-0.516007	0.590093	-0.545266	1.577734	0.195465	0.503032	-1.099030	0.916928	-1.095461	-0.591650	-0.684420	1.138148	0.522300	1.325115	-0.535989	0.256122	-0.394693	-0.074994	-0.209867	0.229719	0.266098	0.266826	-0.545979	-2.280060	-2.435627	-0.364008	-0.715106	1.851048	-0.053586	-0.377566	0.861266	0.440234	0.386713	0.685717	-1.480099	-1.234616	-0.099971	-0.732232	1.036815	-0.608777	0.523014	1.063932	-0.854974	-0.620195	-0.357585	0.650037	0.843426	-0.080703	1.499237	-0.251970	-0.587369	-0.904213	0.644612	
RPE65	0.583696	-1.779292	0.231564	-0.188523	-1.807092	-0.130864	1.955155	-0.122627	-0.541684	-0.800120	-0.191612	-0.577721	-0.714661	-0.372826	-0.597284	-0.902052	0.776235	-1.315961	0.333497	1.376506	-1.754581	1.459906	1.758497	0.483822	-0.500499	-1.283013	-1.040022	-0.819682	-0.875282	-0.992659	0.560014	0.029758	-1.307724	1.018197	0.426163	0.852427	-0.022731	1.239566	1.404306	0.218179	0.010195	0.677391	-0.138071	-1.041052	-0.801149	-0.689950	0.847279	-0.562276	-0.609639	1.431076	1.147930	0.129631	-1.954328	-0.036138	1.317818	1.177789	1.321936	0.289223	-0.179484	1.550513	-0.944267	0.701073	-0.371796	-0.160723	-0.702305	0.377771	2.705751	-1.458050	0.943034	0.372623	1.248833	0.405570	0.980101	-0.802179	1.759526	-0.350174	0.659888	-0.492262	-1.151222	-1.362294	-0.562276	-1.835922	-0.488143	-0.431514	-0.551980	0.901849	1.184996	-0.770261	0.960538	-1.466287	0.236712	0.505721	
OR4N5	0.369836	0.913945	-0.418237	0.156656	1.442662	1.467289	0.660746	-0.576006	0.872386	-0.580623	0.012740	-2.748594	-0.983895	-0.042671	-0.758402	1.458823	-0.202227	-0.323576	2.034486	-0.441325	0.598408	4.492597	-0.298949	2.478547	1.768204	0.402929	-1.142433	0.593790	-1.013140	-0.552918	-0.542913	-0.158881	-0.237381	0.416782	0.396002	0.289028	0.254395	-0.588319	-0.715304	0.034289	-0.937719	0.590712	-0.332811	-0.839210	-0.467492	-1.975913	-0.358208	-0.549070	0.165891	-0.474418	-0.567540	-0.067298	0.795426	-1.798904	-0.225067	-1.150129	0.368297	0.105093	0.909327	-0.517867	-0.271243	-0.031897	0.452953	1.528857	-0.940797	-0.700681	-0.055754	-0.829975	-0.348973	1.594274	-2.003618	0.167430	-0.497506	0.973204	-0.527521	0.235155	0.788500	-0.928484	-1.083174	0.275944	0.878543	-0.495967	-0.442864	-1.475671	0.908558	0.299032	0.344439	0.483737	0.493742	0.021206	-0.155973	-0.117323	
TRIM60	0.985446	-0.452253	-1.454599	0.339768	-1.606090	-0.302772	0.362566	-1.138378	0.642752	4.926435	0.065466	-3.861551	-0.240459	0.180187	0.225047	-0.834659	0.119885	0.199308	0.108854	0.379480	1.331083	0.765563	0.534648	-0.325765	-0.770680	-0.046315	-0.517704	0.354476	0.331679	0.379480	-0.401511	-0.786123	-0.047050	0.907494	-0.777299	-0.074995	1.008979	0.525824	-0.101469	-0.567711	-1.011155	-0.225751	-1.496516	0.177246	0.153713	-0.915553	-0.068376	-0.898639	-0.131621	-2.192201	0.011782	0.326531	-0.116913	-1.151615	0.658195	1.107522	-0.652281	0.903082	-0.079407	-0.072789	1.299461	0.735412	0.005899	1.214155	1.920871	-0.917759	0.756003	0.066201	-0.608893	0.210339	0.247109	0.246373	0.213280	-2.043651	0.122827	0.013253	-0.140445	-0.580212	-0.024253	-0.758178	0.744236	1.383296	-0.383862	0.427281	1.197976	-0.086026	-0.765532	0.918525	0.714085	0.400071	-0.934673	-0.285457	
LRIT2	-1.578451	-0.049176	-0.115833	-2.687098	0.262655	1.410377	0.338506	-1.025276	0.173779	0.227411	0.356128	-0.495853	-0.335724	-0.604649	-0.109703	-0.133455	-0.382460	-0.401614	0.382177	-0.305843	-0.741793	-0.631465	1.224198	0.759133	-0.675903	-1.063585	-0.300480	-0.785465	-0.743326	-0.300480	0.454964	-0.334191	0.022844	0.654934	-0.368669	-0.220032	0.926924	-0.001674	-0.186320	-0.573236	-0.662112	0.448068	0.059620	0.688645	0.675620	0.585979	-0.374032	-0.390122	-1.606033	1.414974	-1.734749	-0.942530	0.838048	1.283959	2.068517	1.009670	-0.582430	0.319352	1.513810	0.238904	1.737532	-0.066032	0.641909	-0.240718	-2.484063	-0.141883	-1.255127	1.143750	1.753621	-0.400848	0.636546	0.251162	-1.167784	-0.518072	-0.008569	-0.095146	-0.361773	-0.008569	0.322416	-0.131922	0.023610	-0.372500	-0.391654	5.110211	0.611262	0.159222	-0.408510	-1.271983	-0.393952	-0.499684	1.057173	-0.125062	
ZNF677	-0.503370	-1.234968	0.752335	0.047634	0.587879	-0.472631	0.998251	0.099123	0.325057	-1.716040	0.344269	-2.507580	0.602481	0.785380	0.029959	-0.577913	0.772316	1.075099	-0.417300	1.523895	0.295086	-3.199217	-0.288194	0.884515	0.823036	0.280831	0.621693	0.196720	-0.642466	0.206710	0.127556	1.756746	0.600175	0.734660	0.816888	0.663191	-0.626328	0.818425	-0.894529	0.456468	-0.146024	0.172129	-0.234400	0.579426	-0.099147	-0.647077	-4.099114	0.094512	-0.385023	-1.797500	1.102765	0.861460	-0.264371	-1.032088	0.952141	-1.120464	-2.048026	-0.309712	-0.842272	-1.278003	0.349649	-0.174458	-1.340251	0.542539	1.181919	0.780769	0.362713	1.657611	-0.111443	-0.166005	0.635525	-1.032088	1.753672	0.398063	-0.686270	0.119103	0.726207	0.400369	0.292012	-0.637087	1.289507	0.500272	-0.147561	-0.377338	-0.275130	0.987492	0.314298	-0.298953	-0.082240	-0.389634	1.151179	-1.329492	
C1orf129	0.112099	-0.988846	1.504889	1.080932	-0.057334	-0.072262	-0.557425	-1.845718	0.438278	0.209132	0.518143	3.707527	-0.734323	-0.532794	0.463656	0.009842	1.424277	-0.622362	0.214357	0.044177	-1.415043	0.439024	1.068243	-0.137946	0.100157	-0.136453	1.148108	0.232270	-1.012731	-0.660429	2.278910	-0.903010	0.065822	-0.758954	-0.778360	0.097171	0.067315	-1.205303	-0.270806	-0.571607	0.025516	1.413081	-0.075248	-0.768657	0.588305	0.710715	1.144376	-0.449943	0.259887	-0.372317	0.147180	0.185993	-1.268001	0.886120	-0.227514	0.356920	-0.068530	0.715194	1.659395	-0.549961	0.669663	-0.108836	-0.227514	0.121656	2.886482	0.289743	0.375580	0.828647	-1.342642	1.290671	-1.291886	-0.054349	-1.263523	-0.380527	0.541282	-0.392470	-1.089611	-0.283495	0.111353	-0.177981	-0.075248	1.267533	-1.284422	-0.058081	-0.866436	1.268279	-0.579817	-0.988846	-1.037363	-1.141859	-3.421377	0.140262	
MGC32805	0.818456	-1.521509	-1.548586	-1.322209	0.924875	1.433987	-0.682119	1.000754	0.400965	0.462990	0.389630	-2.407496	-1.042622	-0.638040	-0.291075	0.932746	-1.120705	-1.228069	0.542962	-0.416701	-1.036010	2.186163	-1.500414	1.793860	0.968639	-0.908181	-0.590498	1.187145	-1.159746	0.093986	0.748874	-0.709826	0.537924	0.642140	0.326975	-0.011489	-1.361565	-1.425794	-0.599628	-0.479670	1.138028	-1.594239	0.578225	0.665753	-0.795150	1.457916	-0.147819	1.095523	-1.309300	1.170458	0.684644	0.590504	0.959823	1.386445	0.247948	-0.599313	0.244484	-0.912589	0.005198	-0.130502	-0.797984	-2.116575	-0.495413	2.195924	-0.443136	1.297342	0.488808	0.127360	0.380185	1.308677	0.593023	-0.923609	-1.355898	1.013348	-1.894606	0.804602	-1.152505	-0.553660	-0.113185	0.412929	1.513959	0.132713	0.256449	0.886148	-0.026916	0.114136	-0.468021	0.718333	-0.095868	-0.388679	-0.403162	0.858127	
HBG2	-1.049611	0.511784	0.868098	0.346993	0.023503	0.040083	1.127973	0.938819	0.638000	1.227456	0.955061	-1.480029	-0.696230	-1.187670	-0.797405	0.196076	0.610252	0.581490	-1.136123	-0.557156	0.169457	-2.735980	-1.846381	-0.604868	-0.554787	-0.159560	1.632835	-0.127414	0.461704	-0.432971	0.157163	1.562113	0.357822	0.412301	-0.578136	1.027813	0.307403	0.888626	0.477608	-0.250246	1.035257	-0.132828	0.467456	1.281935	1.602719	1.222945	-0.433309	0.009291	1.190009	0.703194	-0.725218	-0.402855	0.719536	1.076539	0.309772	-1.416978	0.234426	0.631909	-0.437370	1.877483	-0.370709	-0.357174	1.155720	1.527260	-1.538456	0.590288	-0.502339	1.761757	0.318231	0.917952	-0.214039	0.651309	-0.788269	0.028240	0.267136	-0.033345	-3.127485	-1.558420	0.947955	-0.605883	-1.637263	-0.777779	-0.912116	-1.276212	-0.400148	-0.106096	-0.133167	-2.011849	-1.822018	-0.476622	-0.438047	0.781811	
TMEM163	-0.304902	-0.062709	0.123149	-0.783991	-0.662654	-0.833103	-0.613541	0.849727	0.350415	-0.599578	0.280598	-0.118563	0.095222	1.281629	-0.246641	0.119297	-0.905809	1.505525	-0.689617	-0.281790	2.319736	-0.336680	0.653276	-1.384898	-0.017930	-0.196630	-1.374305	-0.995368	-0.430572	-0.895216	1.968725	-0.498463	1.130439	-1.101778	-1.000183	-0.622208	2.385701	-0.003485	-1.481198	1.836795	-1.151373	-0.135896	-0.716100	-0.409386	-0.910143	-0.678543	-0.566836	-1.301599	1.771311	1.310038	0.890654	0.063925	-0.654950	0.872839	-0.131563	1.188700	0.424565	-0.557206	0.119778	-0.714174	0.630164	1.756385	0.533865	1.147773	2.410257	-0.397831	-0.670358	0.788577	-0.756545	-0.948663	1.740014	0.810726	-1.458086	1.404892	1.049066	-1.920323	0.962879	-1.109482	-0.922662	-0.290457	-0.639542	0.634498	-0.745953	-0.802288	2.089580	-0.181639	-0.282753	-0.036227	0.095703	-1.069037	-0.306828	-0.688173	
