 	"TCGA-A6-2670-01A-02D-0820-05"	"TCGA-A6-2672-01A-01D-0825-05"	"TCGA-A6-2674-01A-02D-0820-05"	"TCGA-A6-2676-01A-01D-0825-05"	"TCGA-A6-2677-01A-01D-0820-05"	"TCGA-A6-2678-01A-01D-0820-05"	"TCGA-A6-2683-01A-01D-0820-05"	"TCGA-A6-3807-01A-01D-1020-05"	"TCGA-A6-3808-01A-01D-1020-05"	"TCGA-A6-3809-01A-01D-1020-05"	"TCGA-A6-3810-01A-01D-1020-05"	"TCGA-AA-3514-01A-02D-0820-05"	"TCGA-AA-3516-01A-02D-0825-05"	"TCGA-AA-3517-01A-01D-0820-05"	"TCGA-AA-3518-01A-02D-0825-05"	"TCGA-AA-3524-01A-02D-0820-05"	"TCGA-AA-3525-01A-02D-0825-05"	"TCGA-AA-3526-01A-02D-0820-05"	"TCGA-AA-3534-01A-01D-0820-05"	"TCGA-AA-3538-01A-01D-0820-05"	"TCGA-AA-3543-01A-01D-0825-05"	"TCGA-AA-3552-01A-01D-0820-05"	"TCGA-AA-3555-01A-01D-0820-05"	"TCGA-AA-3558-01A-01D-0820-05"	"TCGA-AA-3561-01A-01D-0820-05"	"TCGA-AA-3562-01A-02D-0820-05"	"TCGA-AA-3666-01A-02D-0904-05"	"TCGA-AA-3667-01A-01D-0904-05"	"TCGA-AA-3672-01A-01D-0904-05"	"TCGA-AA-3675-01A-02D-1110-05"	"TCGA-AA-3679-01A-02D-0904-05"	"TCGA-AA-3681-01A-01D-0904-05"	"TCGA-AA-3685-01A-02D-0904-05"	"TCGA-AA-3693-01A-01D-0904-05"	"TCGA-AA-3695-01A-01D-0904-05"	"TCGA-AA-3696-01A-01D-0904-05"	"TCGA-AA-3710-01A-01D-1020-05"	"TCGA-AA-3715-01A-01D-0904-05"	"TCGA-AA-3811-01A-01D-1020-05"	"TCGA-AA-3812-01A-01D-0904-05"	"TCGA-AA-3818-01A-01D-0904-05"	"TCGA-AA-3821-01A-01D-1020-05"	"TCGA-AA-3831-01A-01D-0904-05"	"TCGA-AA-3837-01A-01D-0904-05"	"TCGA-AA-3842-01A-01D-1020-05"	"TCGA-AA-3844-01A-01D-1020-05"	"TCGA-AA-3846-01A-01D-1020-05"	"TCGA-AA-3848-01A-01D-0904-05"	"TCGA-AA-3854-01A-01D-0904-05"	"TCGA-AA-3855-01A-01D-1020-05"	"TCGA-AA-3856-01A-01D-0904-05"	"TCGA-AA-3860-01A-02D-0904-05"	"TCGA-AA-3861-01A-01D-1020-05"	"TCGA-AA-3862-01A-01D-1020-05"	"TCGA-AA-3864-01A-01D-1020-05"	"TCGA-AA-3866-01A-01D-1020-05"	"TCGA-AA-3869-01A-01D-1020-05"	"TCGA-AA-3877-01A-01D-1020-05"	"TCGA-AA-3939-01A-01D-1020-05"	"TCGA-AA-3941-01A-01D-1020-05"	"TCGA-AA-3947-01A-01D-1020-05"	"TCGA-AA-3949-01A-01D-1020-05"	"TCGA-AA-3950-01A-02D-1020-05"	"TCGA-AA-3952-01A-01D-1020-05"	"TCGA-AA-3966-01A-01D-1110-05"	"TCGA-AA-3968-01A-01D-1020-05"	"TCGA-AA-3975-01A-01D-1020-05"	"TCGA-AA-3976-01A-01D-1020-05"	"TCGA-AA-3977-01A-01D-1020-05"	"TCGA-AA-3979-01A-01D-1020-05"	"TCGA-AA-3986-01A-02D-1020-05"	"TCGA-AA-3989-01A-01D-1020-05"	"TCGA-AA-3994-01A-01D-1110-05"	"TCGA-AA-A00D-01A-01D-A004-05"	"TCGA-AA-A00J-01A-02D-A004-05"	"TCGA-AA-A00L-01A-01D-A004-05"	"TCGA-AA-A00O-01A-02D-A00B-05"	"TCGA-AA-A00Q-01A-01D-A004-05"	"TCGA-AA-A00U-01A-01D-A004-05"	"TCGA-AA-A00W-01A-01D-A004-05"	"TCGA-AA-A010-01A-01D-A00B-05"	"TCGA-AA-A01D-01A-01D-A00B-05"	"TCGA-AA-A01F-01A-01D-A004-05"	"TCGA-AA-A01G-01A-01D-A004-05"	"TCGA-AA-A024-01A-02D-A00B-05"	"TCGA-AA-A029-01A-01D-A00B-05"	"TCGA-AA-A02E-01A-01D-A00B-05"	"TCGA-AA-A02F-01A-01D-A00B-05"	"TCGA-AA-A02H-01A-01D-A00B-05"	"TCGA-AA-A02J-01A-01D-A00B-05"	"TCGA-AY-4070-01A-01D-1110-05"	"TCGA-AY-4071-01A-01D-1110-05"
PALLD	1.477511	0.467049	1.831685	1.135998	1.637971	1.955697	1.084179	-0.843940	-0.855002	0.111436	-0.248639	0.224212	1.169366	0.673798	1.449252	1.023281	0.701376	1.901257	-1.274605	1.391446	0.880925	0.786505	1.673504	1.409728	1.250875	0.732792	-0.673996	-0.817196	-0.184232	-1.156630	-1.507217	-0.961410	-0.624310	-0.779607	-1.216565	-0.795380	-0.739156	-1.004867	0.598922	-0.622220	-0.940726	-0.805150	-0.651162	-0.872023	-0.809450	0.265339	-1.124379	-0.312602	-0.886247	-1.062587	-1.993994	-0.763792	-0.794717	-0.776971	0.028053	0.409130	-0.594272	-0.744576	-0.395408	-0.098649	-0.525324	-0.762606	0.156526	-0.881721	-1.035050	0.005145	-0.214606	-0.214362	0.599201	0.535650	-0.806247	-0.052499	-1.341646	1.844487	1.513807	0.240302	0.160639	1.510674	1.486615	1.744162	-0.671087	-0.426288	1.304967	1.625507	1.076290	-0.593565	-0.363022	-0.728529	-0.727416	-0.423868	-1.120774	-1.254971	
CSN3	0.990569	1.813025	0.179274	0.995256	0.965110	0.692701	0.961170	-1.058287	-0.699881	-1.245795	0.351679	0.401598	1.532194	0.587266	1.857432	1.189463	1.269908	1.799827	1.578062	0.765089	1.758992	-0.866822	1.212882	-1.609626	1.196493	-1.417996	-0.874432	-0.582101	0.392652	-0.302837	-1.174546	-0.641655	-0.926752	0.188951	-0.573728	-0.617778	0.512927	-1.354321	0.196598	-0.842299	-0.971282	-0.727856	-0.914231	-0.939268	-0.657719	0.353313	-0.312431	-0.519594	-0.290183	-2.443486	-0.370609	-0.878277	-0.548323	0.129161	0.103820	-0.091218	-0.129501	-0.730181	0.289224	-0.063887	-0.304994	-0.054321	0.297373	-1.104981	-0.853020	0.722610	-0.628771	-0.345306	0.170085	-2.810609	-0.491033	0.467923	-0.635512	1.096184	1.683252	-0.011082	0.094918	1.220565	1.589786	1.745246	-0.162900	-1.087055	1.816973	1.780961	0.507919	-0.240322	-0.131140	-0.675516	-1.588855	-0.519889	-0.310708	-0.125510	
CCDC141	0.856253	1.873654	1.798967	-0.069741	0.103466	1.740969	0.423929	-0.421647	-0.157622	0.278770	-0.568860	-0.726316	1.414698	1.268437	2.251991	-0.137732	1.364800	2.025884	-1.101492	-1.966670	1.780500	-1.496321	0.236574	-0.909558	1.991840	-2.100091	-0.582622	-0.983320	-0.401613	-1.137952	0.527033	0.710022	-1.026941	-0.582458	-0.617510	0.308002	-0.482851	0.973785	0.825319	-0.365872	-0.376193	-0.208201	-1.380824	-0.716085	-0.126629	-0.180577	-1.164716	-0.975326	0.318170	-0.378986	-0.664793	0.540802	-0.401633	0.146398	-0.423711	-0.895191	0.481631	0.028474	-0.624360	-0.255692	-0.073575	0.256204	0.178897	-0.015740	-1.120885	-1.602262	-0.291419	-0.596668	0.078341	-1.146050	-1.307352	0.248791	1.101817	1.901912	1.822740	-0.220666	1.063214	-0.147872	-1.617597	1.765518	0.833911	-1.008827	0.711274	1.012668	0.719674	1.032209	0.253009	-0.708986	-0.338933	-0.488521	-0.568552	-1.386529	
CSN3	2.043541	1.485224	-0.864777	-1.088137	-1.103100	1.420964	0.736970	-0.510184	-0.407421	-0.077026	0.204162	-0.067962	0.758928	1.637159	0.732059	1.528038	1.632382	2.200034	2.009837	-0.258158	0.229290	0.283038	1.073905	-0.424729	1.618246	-3.500219	-0.298806	-0.204981	1.014694	-0.673323	-0.401245	-0.617232	0.237515	0.362915	-0.350488	-0.415069	-0.205704	-0.171722	1.097042	-0.072149	-0.030569	-0.216604	-0.772960	-0.427645	-0.669701	-1.154142	0.134148	-0.315437	-0.112142	-1.520997	-1.143575	-0.226274	-0.271193	-1.558335	0.620246	-0.298964	0.460143	-0.210636	-0.240964	0.271597	-0.042372	-0.355070	1.196821	-0.347053	-0.390154	-1.031375	-0.085292	-1.254335	-0.868795	-2.385252	-0.642029	-0.627348	0.041292	0.317232	2.151351	-0.583867	0.082426	0.884853	1.840123	2.087894	-0.778299	-0.743482	1.402449	0.538048	-0.488700	-0.478529	-0.449013	-0.623797	-0.375315	0.537362	-1.158985	-0.280296	
GPR65	0.425812	0.797801	-0.358993	1.313751	1.926330	-0.429533	2.048402	-0.283089	-0.567042	-2.822144	-0.670654	1.654102	-1.792486	0.565701	1.690595	1.911560	1.168577	0.763128	0.687239	1.538531	0.361261	-0.335851	2.113135	-1.734529	1.708459	0.211698	-0.355208	-0.440281	0.643575	0.729779	-0.511115	-0.820426	-0.699193	-0.338571	-0.045204	-0.069779	-0.781030	-2.446327	-0.945121	-0.164880	-1.648285	-0.443002	0.145625	0.265946	-0.775482	0.106428	0.100681	-0.179681	-1.766714	0.399589	-0.455324	-0.526667	-0.491766	-0.541221	-0.980456	0.253823	0.022436	-0.623765	-0.591291	1.552996	-0.418404	-0.843100	0.104217	-0.593505	-0.184833	0.379830	-1.334969	-0.688054	-0.969128	0.586882	-1.140769	-0.524090	-0.363730	-0.853049	1.290067	1.076540	-0.303715	0.363994	1.965915	0.342825	-0.402166	0.116140	1.824214	1.212114	0.020983	0.842624	0.660908	-0.268503	-0.508123	0.322547	-0.499004	-0.686509	
HFM1	0.088809	-0.229788	1.968644	0.215735	-1.981069	-1.090040	-1.904072	0.579172	0.836685	-0.167734	0.035609	-1.329620	-0.301370	-0.057333	-0.696800	-0.290383	1.044711	-1.265709	-1.112604	-0.264297	3.164494	-0.827392	-0.694919	-0.794684	-1.702445	-0.771186	-0.540396	0.585660	0.977346	0.025497	-0.256029	0.408228	0.759298	-0.769064	0.749921	0.150839	0.699577	1.629667	2.243062	0.394928	-0.046249	0.699506	-0.185094	0.299559	0.221254	-0.966798	-0.030621	0.453549	-0.024837	0.466032	0.081375	0.978943	0.526582	0.699896	-0.800658	0.670055	-0.173945	1.564278	-0.148511	-0.704668	0.498579	0.201109	1.646582	0.477347	0.498953	-0.367636	0.157312	-0.500446	-0.696761	-1.007624	-1.162699	-0.436705	0.442881	-0.343519	1.103558	-0.547159	0.364148	-0.490830	-1.838911	-1.934179	2.530698	1.500273	-2.026758	-0.653307	0.106257	-1.139561	-1.083279	-0.389805	0.096784	0.012157	2.138022	-0.246082	
GPRC6A	-1.653731	-0.402253	-1.251315	-2.048115	-2.241290	0.526757	-1.280867	1.758514	0.416305	-0.548246	0.417682	-0.826841	-0.952066	1.913745	0.400325	-1.990921	-1.431609	-0.107921	0.299290	-1.761969	-0.133837	-1.571717	0.886885	-1.268221	0.328128	-1.982960	0.974636	0.956373	0.360895	0.544037	1.585008	0.369282	0.444701	-0.675052	0.942856	0.594464	-0.007367	0.517671	-1.344224	0.472741	0.747912	0.501622	0.154022	0.782394	0.503077	-1.179991	0.881233	0.408137	0.705470	0.682922	-0.113465	0.514130	0.451730	0.100753	0.410839	0.406945	1.272979	1.483836	0.226748	-0.009292	0.353894	0.987982	0.102032	1.579964	0.575432	-1.088205	0.127128	0.823366	0.722929	-1.381505	0.465774	0.410521	1.056983	-1.042716	-1.668513	-1.607595	-0.555467	-1.164851	-1.898966	0.224962	-0.002270	-0.168118	1.904904	-0.885640	0.900700	0.749737	-1.381918	0.643305	0.492597	0.602035	-0.021019	-0.019233	
PRG4	-1.044929	-0.519514	1.480092	-0.063390	-1.163383	-0.429975	-1.753572	0.818431	1.158799	0.348535	0.117747	-1.477310	-0.342892	-1.151420	-1.095105	-1.556127	-0.764967	-0.942737	-1.639960	-0.849547	-0.295755	-0.293633	-0.377157	-0.884184	-2.245839	-1.152148	-0.264355	1.636669	-0.433514	-0.362799	0.931233	1.399180	1.110048	0.837700	0.754740	0.329811	0.485023	1.993163	-0.212338	0.865465	0.648141	1.122314	1.151845	0.831823	0.929923	-1.392605	-0.321143	0.519657	0.518513	0.216891	0.704706	0.222347	1.021575	0.945523	-0.608120	-0.077091	-0.282828	1.288805	-0.385196	-0.113958	1.071564	0.670598	2.632610	1.948292	1.378164	-0.772601	0.295316	0.093259	-0.408566	-1.018126	-0.104413	0.725819	0.630504	-0.383134	-1.651073	-0.459347	-0.056588	-1.338747	-1.274915	-1.276200	0.587428	1.476122	-2.059437	-1.273986	-0.374048	0.090359	-0.941539	0.501004	1.321877	-0.045492	0.084480	0.039606	
SPATA19	-0.625981	0.249461	0.642496	0.906316	-1.706548	-1.440592	-1.086505	0.193222	0.734824	-0.279239	-0.736865	-0.298429	-0.942128	-0.306735	-1.526217	-1.532835	-1.003930	-1.262049	-0.347777	-0.981492	2.095698	-1.306087	0.602643	-0.853839	-1.502469	-1.448664	0.867597	1.024884	2.381779	0.465588	0.784110	1.723144	-0.546277	2.429402	-0.086137	-0.242652	1.278191	0.393918	-0.643682	0.340694	-0.022685	0.704860	-0.441599	-0.322223	0.651093	0.565938	0.564926	0.973604	-0.358074	-0.290833	0.190693	0.017884	0.802367	0.179949	-0.830202	-0.225395	-0.661189	0.668943	0.227020	2.167068	0.602765	-0.467937	1.403819	0.599339	0.588500	-0.539253	0.533624	-0.329156	-0.573484	-0.838099	-0.704107	1.748185	0.602232	-0.941779	2.361123	-0.975858	-0.218110	-0.799883	-0.307548	-1.564821	0.698745	0.285755	-1.636214	-1.021802	-0.418269	-1.224945	-1.266173	0.452272	1.846790	0.467187	-0.312762	0.980884	
KIAA1468	1.074699	1.616081	1.353896	1.087512	1.112713	1.447644	0.490162	-1.411959	-1.104570	0.877625	-0.267761	-0.119257	0.863714	0.413287	1.583816	1.577509	1.380198	1.128092	1.288539	1.063584	1.372842	1.112254	1.240856	0.358000	0.620575	1.529222	-0.592065	-0.766313	0.047083	-0.098002	-0.869988	-1.719998	-0.695214	-0.911973	-0.877989	-0.992542	-0.919779	-0.948928	0.302053	-0.389279	-1.901154	-1.019553	-0.774313	0.260186	-1.051712	0.109695	-0.431039	-1.018269	-0.956750	-0.652090	-0.895409	-0.315261	-0.957432	-1.198734	0.108414	-0.941178	-0.335901	-0.470876	-1.032290	-0.552691	-0.767259	0.088674	0.233002	-1.488053	-0.662873	0.077113	-1.494654	0.591053	0.514369	-0.031829	0.539300	-0.231660	-0.831594	1.515710	1.629800	0.666821	0.215698	1.413424	1.614146	0.930818	-0.110206	-1.713914	1.380659	1.231810	0.193199	0.369693	0.945304	-0.719903	-2.416501	-0.303867	-1.189961	-0.418300	
